

acc
| count/波段索引 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 |
| 10 | 0.7745000000000001 | 0.7568 | 0.7418 | 0.7254999999999999 | 0.7432 | 0.7618 | 0.7576999999999999 | 0.8134 | 0.8012 | 0.7754000000000001 | 0.7867000000000001 | 0.7957 | 0.7591 | 0.7582 | 0.7917000000000001 | 0.8079999999999999 | 0.7686 | 0.8012 | 0.8351000000000001 | 0.7879999999999999 | 0.7917000000000001 | 0.7618 | 0.7659 | 0.7754000000000001 | 0.7848999999999999 |
| average | 0.75955 | 0.7571100000000001 | 0.74343 | 0.7368100000000001 | 0.73537 | 0.75682 | 0.7541699999999999 | 0.7683499999999999 | 0.7651699999999999 | 0.75648 | 0.77038 | 0.76956 | 0.7614599999999999 | 0.76364 | 0.7683 | 0.7738700000000001 | 0.7511500000000001 | 0.77228 | 0.7811099999999999 | 0.7623200000000001 | 0.76744 | 0.7596300000000001 | 0.76143 | 0.7677599999999999 | 0.76113 |

loss
| count/波段索引 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 |
| ----------: | -: | -: | -: | -: | -: | -: | -: | -: | -: | --: | --: | --: | --: | --: | --: | --: | --: | --: | --: | --: | --: | --: | --: | --: | --: |
| 1 | 2.9452 | 1.4351 | 3.8633 | 1.9228 | 2.539 | 4.0876 | 3.394 | 1.7999 | 3.1294 | 2.4133 | 4.1367 | 3.7259 | 2.1187 | 3.1474 | 2.0851 | 1.7401 | 2.096 | 1.8704 | 2.8944 | 2.1673 | 1.6095 | 2.115 | 3.6619 | 2.2836 | 3.9173 |
| 2 | 2.0732 | 1.4822 | 3.2696 | 3.4992 | 2.2891 | 2.9177 | 2.9923 | 2.7876 | 3.4665 | 3.6632 | 3.9755 | 1.8785 | 1.7687 | 3.0768 | 1.8603 | 1.7121 | 1.9554 | 1.5781 | 2.9094 | 1.8133 | 1.6759 | 3.7282 | 2.9751 | 1.6666 | 3.1631 |
| 3 | 2.8884 | 2.3649 | 3.4166 | 5.9688 | 3.8212 | 3.0442 | 1.4914 | 3.8162 | 2.8029 | 3.6452 | 3.3491 | 1.8872 | 2.3917 | 2.3081 | 2.4589 | 3.2695 | 2.7909 | 2.0335 | 2.3998 | 2.1886 | 3.6709 | 2.7676 | 1.714 | 1.3078 | 2.2269 |
| 4 | 1.3822 | 1.3343 | 2.6002 | 2.0379 | 1.9259 | 1.8043 | 4.0927 | 3.716 | 1.8855 | 2.042 | 1.6143 | 1.488 | 2.3206 | 2.8653 | 1.8915 | 2.5535 | 1.8311 | 1.7914 | 2.0503 | 1.0314 | 1.8596 | 1.6149 | 4.2083 | 2.1475 | 2.6106 |
| 5 | 1.8806 | 3.2492 | 1.644 | 2.7095 | 3.4961 | 1.29 | 2.0561 | 4.014 | 2.6999 | 1.8402 | 2.0774 | 1.4179 | 1.4739 | 3.1611 | 1.614 | 1.4582 | 2.6161 | 1.5681 | 2.1201 | 3.512 | 3.7999 | 2.0585 | 2.681 | 2.7854 | 1.7217 |
| 6 | 2.0634 | 2.9833 | 4.3027 | 2.6582 | 2.8026 | 2.3729 | 1.6878 | 1.7946 | 1.688 | 2.0935 | 1.4264 | 1.6038 | 1.9488 | 2.1357 | 1.6696 | 1.246 | 2.6488 | 2.2728 | 1.4426 | 2.6249 | 2.0213 | 2.0021 | 1.8958 | 1.2395 | 2.1748 |
| 7 | 1.745 | 3.7133 | 1.9942 | 2.7104 | 3.0444 | 3.2471 | 2.0583 | 1.6839 | 3.9789 | 2.0532 | 2.9137 | 2.0879 | 2.0624 | 2.915 | 2.3581 | 1.9055 | 2.1736 | 1.9427 | 3.1806 | 1.3727 | 3.4197 | 3.5141 | 2.2808 | 1.9152 | 4.1448 |
| 8 | 2.9668 | 4.2357 | 4.2446 | 3.634 | 3.9498 | 2.2532 | 3.5688 | 1.5291 | 1.2392 | 3.3524 | 2.4522 | 1.9526 | 3.193 | 4.115 | 3.3689 | 2.2225 | 1.869 | 3.9934 | 2.2195 | 4.7463 | 2.6239 | 2.6047 | 3.8273 | 2.3547 | 2.7425 |
| 9 | 3.4596 | 3.5435 | 4.3141 | 5.4512 | 3.9814 | 3.2206 | 2.3985 | 1.8396 | 3.6643 | 1.9797 | 2.8498 | 2.7974 | 1.5724 | 3.4743 | 2.2664 | 3.419 | 2.1356 | 2.4808 | 4.2069 | 4.3057 | 1.454 | 4.843 | 4.526 | 3.1283 | 1.9184 |
| 10 | 1.5873 | 2.0245 | 2.6835 | 4.2544 | 3.6469 | 2.9594 | 2.9079 | 1.3507 | 2.065 | 1.9757 | 1.8237 | 1.4203 | 1.8158 | 2.2134 | 2.4036 | 1.3367 | 3.5444 | 2.4515 | 1.4418 | 1.2745 | 1.0924 | 2.2759 | 1.9175 | 2.0846 | 1.7367 |
| average | 2.2991699999999993 | 2.6366000000000005 | 3.2332799999999997 | 3.48464 | 3.1496399999999998 | 2.7197 | 2.66478 | 2.43316 | 2.6619600000000005 | 2.50584 | 2.6618799999999996 | 2.02595 | 2.0666 | 2.9412099999999994 | 2.1976400000000003 | 2.08631 | 2.36609 | 2.19827 | 2.4865400000000006 | 2.50367 | 2.32271 | 2.7524000000000006 | 2.96877 | 2.0913199999999996 | 2.63568 |
